"CLA 5924, Aspects de l'histoire de l'antiquité tardive / Topics in Late Antique History "
"CLA 5925, Introduction à une langue ancienne / Introduction to an Ancient Language "
"CLA 5926, Lectures dirigées en langues anciennes / Directed Readings in Ancient Language "
"CLA 5926,1 Lectures dirigées en langues anciennes  / Directed Readings in Ancient Language "
"CLA 5926,2 Lectures dirigées en langues anciennes  / Directed Readings in Ancient Language  "
"CLA 5999, Mémoire / Research Paper "
"LCL 1101, Latin I "
"LCL 1102, Latin II "
"LCL 1501, Latin I "
"LCL 1502, Latin II "
"LCL 2103, Latin III "
"LCL 2151, Ancient Greek I "
"LCL 2152, Ancient Greek II "
"LCL 2503, Latin III "
"LCL 2551, Grec ancien I "
"LCL 2552, Grec ancien II "
"LCL 3102, Latin IV "
"LCL 3151, Ancient Greek III "
"LCL 3152, Ancient Greek IV "
"LCL 3502, Latin IV "
"LCL 3551, Grec ancien III "
"LCL 3552, Grec ancien IV "
"LCL 4100, Latin Authors "
"LCL 4150, Greek Authors "
"LCL 4500, Auteurs latins "
"LCL 4550, Auteurs grecs "
"CLI 2101, Transition to Clerkship Part 1"
"CLI 2501, Transition à l'externat partie 1"
"CLI 3101, Link Period"
"CLI 3102, Surgery"
"CLI 3103, Internal Medicine"
"CLI 3104, Mandatory Selectives"
